NAME                                 VERSION                             TYPE       
perfect-debounce                     2.1.0                               npm        
picocolors                           1.1.1                               npm        
picomatch                            4.0.5                               npm        
pinia                                4.0.3                               npm        
pinia-plugin-persistedstate          4.7.1                               npm        
pkg-types                            1.3.1                               npm        
pkg-types                            2.3.1                               npm        
postcss                              8.5.26                              npm        
primeicons                           7.0.0                               npm        
primevue                             4.5.5                               npm        
proxy-from-env                       2.1.0                               npm        
quansync                             0.2.11                              npm        
readdirp                             5.1.1                               npm        
rolldown                             1.2.4                               npm        
scule                                1.3.0                               npm        
source-map-js                        1.2.1                               npm        
tinyglobby                           0.2.17                              npm        
ufo                                  1.6.4                               npm        
unplugin                             3.3.0                               npm        
unplugin-utils                       0.3.2                               npm        
vite                                 8.2.1                               npm        
vue                                  3.5.41                              npm        
vue-router                           5.2.0                               npm        
webpack-virtual-modules              0.6.2                               npm        
yaml                                 2.9.0                               npm        
